date,product_id,category,price,user_id,age,gender,location,number_of_reviews,average_rating,purchase_frequency,ad_spend,sales
2020-02-02,P33,Electronics,519.95,U649,44,Female,FL,28,2.0,3,1286.11,394.26
2020-02-03,P34,Books,931.37,U701,43,Female,TX,17,4.7,2,1712.81,2059.81
2020-02-04,P35,Books,855.44,U221,54,Female,WA,24,4.6,1,1986.41,3172.33
2020-02-05,P36,Books,960.76,U883,57,Male,NV,7,3.5,5,302.12,2650.83
2020-02-06,P37,Electronics,695.13,U39,28,Female,CA,25,1.4,8,375.29,1798.27
2020-02-07,P38,Books,600.71,U213,18,Male,CA,15,2.8,1,143.35,4103.63
2020-02-08,P39,Clothing,422.77,U440,49,Male,FL,44,2.0,4,583.17,327.15
2020-02-09,P40,Clothing,29.69,U84,32,Female,NV,7,3.5,8,891.23,534.15
2020-02-10,P41,Books,327.02,U935,41,Male,IL,37,4.8,9,678.56,700.26
2020-02-11,P42,Furniture,654.09,U206,30,Male,TX,29,3.3,7,295.61,3369.89
2020-02-12,P43,Furniture,272.05,U837,18,Male,TX,39,4.1,9,320.66,1155.3
2020-02-13,P44,Electronics,358.56,U592,51,Female,OR,35,4.2,1,1197.29,4055.91
2020-02-14,P45,Electronics,773.67,U790,27,Female,NV,47,2.7,1,920.52,4675.66
2020-02-15,P46,Electronics,750.45,U396,40,Male,TX,48,2.5,8,825.55,4893.94
2020-02-16,P47,Clothing,30.09,U281,31,Male,NY,39,1.6,7,267.83,2139.54
2020-02-17,P48,Furniture,538.36,U945,44,Female,OR,47,3.1,2,241.57,4670.1
2020-02-18,P49,Clothing,431.71,U382,19,Female,IL,34,3.0,1,374.92,4633.56
2020-02-19,P50,Clothing,466.67,U283,56,Female,NY,1,3.4,9,1537.78,924.44
2020-02-20,P51,Books,220.56,U128,21,Female,IL,49,1.4,3,852.18,2152.22
2020-02-21,P52,Electronics,140.99,U384,38,Male,IL,40,3.0,6,1709.13,4616.49
2020-02-22,P53,Furniture,430.51,U998,56,Female,IL,10,1.6,1,1358.44,3442.55
2020-02-23,P54,Books,169.26,U814,33,Female,IL,12,2.8,3,1939.41,499.25
2020-02-24,P55,Clothing,457.1,U91,58,Male,TX,40,1.6,4,802.11,3992.07
2020-02-25,P56,Books,223.08,U736,48,Male,CA,47,2.7,2,1643.38,223.85
2020-02-26,P57,Furniture,89.39,U746,42,Male,WA,30,1.2,7,1243.02,3661.35
2020-02-27,P58,Furniture,31.43,U497,62,Female,WA,21,1.9,9,1794.05,4725.87
2020-02-28,P59,Electronics,600.62,U442,45,Male,WA,33,4.9,5,1351.33,2500.41
2020-02-29,P60,Electronics,394.55,U228,55,Female,WA,40,3.0,9,286.41,3619.01
2020-03-01,P61,Furniture,608.69,U508,36,Male,FL,40,4.7,3,1611.23,3533.76
2020-03-02,P62,Clothing,141.52,U10,46,Male,IL,43,2.6,1,184.22,847.2
2020-03-03,P63,Books,59.29,U325,60,Female,CA,7,2.9,8,415.63,4952.06
2020-03-04,P64,Electronics,764.25,U268,21,Male,TX,34,2.3,3,1129.04,1068.42
2020-03-05,P65,Furniture,853.23,U817,52,Female,CA,0,1.2,2,752.1,3235.81
2020-03-06,P66,Furniture,532.3,U366,21,Male,CA,1,3.1,5,1324.19,4692.34
2020-03-07,P67,Clothing,867.06,U504,60,Male,CA,31,2.5,7,1539.71,1309.74
2020-03-08,P68,Clothing,805.15,U336,59,Male,TX,35,3.4,4,294.05,399.93
2020-03-09,P69,Clothing,833.42,U196,45,Male,WA,43,3.3,4,1464.27,3558.52
2020-03-10,P70,Furniture,602.76,U781,22,Male,OR,41,1.6,5,1030.84,1918.49
2020-03-11,P71,Clothing,705.78,U434,36,Female,TX,3,2.7,5,861.82,4953.01
2020-03-12,P72,Electronics,543.06,U709,38,Male,TX,48,2.1,4,1861.61,4308.54
2020-03-13,P73,Electronics,104.97,U37,53,Male,OR,42,3.5,4,180.13,888.01
2020-03-14,P74,Books,863.74,U795,41,Female,OR,3,1.9,2,1762.68,2675.48
2020-03-15,P75,Furniture,973.2,U69,53,Female,FL,41,1.2,8,526.96,543.94
2020-03-16,P76,Furniture,605.68,U431,54,Female,NV,44,2.9,3,1232.24,4058.41
2020-03-17,P77,Electronics,856.57,U385,42,Female,WA,23,4.0,9,1572.83,499.24
2020-03-18,P78,Clothing,455.88,U664,19,Male,NV,19,2.6,7,1272.56,3344.51
2020-03-19,P79,Books,22.05,U341,52,Male,CA,24,2.8,5,498.95,1892.41
2020-03-20,P80,Books,664.82,U90,34,Male,FL,17,4.2,5,1372.47,2528.74
2020-03-21,P81,Furniture,670.19,U620,47,Male,FL,46,4.0,9,1682.54,1439.65
2020-03-22,P82,Books,372.13,U406,24,Male,NV,38,1.3,7,1394.94,654.5
2020-03-23,P83,Electronics,816.7,U107,41,Male,WA,4,1.0,9,870.9,2189.12
2020-03-24,P84,Furniture,454.97,U809,64,Female,OR,0,4.7,2,203.99,4145.73
2020-03-25,P85,Electronics,225.7,U950,18,Female,NY,27,1.3,8,1409.71,4863.62
2020-03-26,P86,Furniture,128.0,U576,23,Female,NV,9,3.4,6,534.76,1264.55
2020-03-27,P87,Clothing,704.48,U461,59,Male,OR,6,3.6,7,898.18,2571.39
2020-03-28,P88,Furniture,545.65,U35,64,Female,TX,20,2.2,8,702.93,372.49
2020-03-29,P89,Clothing,921.9,U491,60,Male,CA,20,3.6,8,489.26,3254.0
2020-03-30,P90,Electronics,443.13,U936,33,Male,OR,4,2.5,4,1802.96,1240.65
2020-03-31,P91,Books,595.69,U229,24,Male,TX,12,2.0,7,1340.14,977.38
2020-04-01,P92,Clothing,712.64,U218,42,Male,NV,1,4.4,5,1528.88,3671.1
2020-04-02,P93,Furniture,132.91,U884,64,Female,OR,3,4.5,3,1757.87,3078.07
2020-04-03,P94,Clothing,963.09,U691,64,Male,OR,3,4.2,7,717.98,1735.73
2020-04-04,P95,Books,357.84,U630,41,Female,NV,30,2.6,9,916.81,2890.12
2020-04-05,P96,Clothing,873.92,U64,31,Female,WA,3,4.1,7,1527.81,854.31
2020-04-06,P97,Books,263.22,U542,34,Male,OR,28,2.9,1,1797.76,1491.7
2020-04-07,P98,Furniture,11.58,U157,29,Male,FL,4,4.4,3,1628.26,2401.83
2020-04-08,P99,Books,283.43,U110,58,Female,NV,25,2.5,9,117.18,4010.87
2020-04-09,P100,Clothing,219.02,U89,35,Male,WA,30,1.5,1,204.23,3028.87
2020-04-10,P101,Books,904.39,U463,18,Female,WA,17,3.6,4,1180.51,2511.17
2020-04-11,P102,Furniture,524.32,U96,45,Male,CA,22,3.0,6,885.18,4220.66
2020-04-12,P103,Books,526.78,U266,57,Male,IL,1,4.0,9,137.6,1659.47
2020-04-13,P104,Electronics,816.74,U392,32,Male,WA,23,4.2,2,1052.85,2130.18
2020-04-14,P105,Electronics,665.02,U908,27,Male,WA,39,4.5,2,1402.57,3944.11
2020-04-15,P106,Clothing,155.68,U143,29,Male,CA,1,2.4,6,1087.84,1264.73
2020-04-16,P107,Clothing,532.73,U754,41,Male,IL,27,2.3,8,1802.99,1567.5
2020-04-17,P108,Books,462.25,U645,58,Female,OR,29,4.7,4,349.61,2347.73
2020-04-18,P109,Electronics,259.17,U785,41,Female,WA,33,2.2,7,566.11,4562.03
2020-04-19,P110,Furniture,711.72,U12,18,Male,WA,46,2.2,4,220.24,3517.33
2020-04-20,P111,Electronics,845.56,U240,54,Male,WA,32,1.1,1,1037.02,2305.29
2020-04-21,P112,Electronics,118.48,U914,62,Male,FL,0,3.7,4,459.54,4115.69
2020-04-22,P113,Electronics,257.25,U634,40,Male,CA,38,4.9,9,1057.22,786.22
2020-04-23,P114,Electronics,977.46,U489,53,Male,FL,3,2.3,6,523.59,3254.07
2020-04-24,P115,Books,860.77,U974,24,Male,FL,5,1.8,2,1346.38,2852.81
2020-04-25,P116,Clothing,142.54,U680,46,Female,OR,17,3.7,7,1458.97,290.04
2020-04-26,P117,Electronics,975.07,U162,33,Male,WA,25,1.2,7,1263.6,709.77
2020-04-27,P118,Furniture,959.69,U558,36,Female,OR,27,5.0,8,1106.52,3634.15
2020-04-28,P119,Furniture,399.06,U419,61,Female,IL,11,4.9,2,1712.61,4923.77
2020-04-29,P120,Clothing,649.39,U814,45,Male,WA,7,2.0,9,1221.61,4859.52
2020-04-30,P121,Furniture,513.56,U354,42,Male,FL,22,4.1,3,707.21,1312.51
2020-05-01,P122,Clothing,446.67,U703,44,Male,IL,30,3.7,5,602.19,434.64
2020-05-02,P123,Books,235.98,U468,42,Female,TX,40,2.0,1,926.39,2619.13
2020-05-03,P124,Clothing,379.02,U534,54,Female,FL,22,4.3,7,1944.04,2281.66
2020-05-04,P125,Electronics,280.59,U369,41,Male,NY,24,2.5,7,1130.07,1107.2
2020-05-05,P126,Books,278.23,U614,26,Female,TX,46,4.3,7,795.01,2550.45
2020-05-06,P127,Clothing,587.45,U372,38,Female,CA,14,4.6,2,1382.17,4249.54
2020-05-07,P128,Clothing,146.79,U493,22,Male,NY,22,1.3,9,123.76,796.25
2020-05-08,P129,Books,427.54,U306,54,Female,OR,21,2.9,7,1432.59,2833.77
2020-05-09,P130,Electronics,226.64,U589,35,Male,NY,19,1.0,5,1100.03,4083.18
2020-05-10,P131,Books,342.36,U187,53,Female,FL,32,2.0,4,1283.82,3113.45
2020-05-11,P132,Clothing,473.2,U14,33,Male,OR,38,2.2,8,1865.22,700.43
2020-05-12,P133,Clothing,182.25,U27,51,Male,FL,28,4.7,9,708.53,3337.08
2020-05-13,P134,Clothing,861.41,U87,42,Female,NY,4,3.2,9,1847.04,4812.25
2020-05-14,P135,Furniture,20.34,U208,41,Female,FL,3,5.0,9,1427.07,4881.22
2020-05-15,P136,Furniture,590.63,U18,42,Female,CA,40,4.3,8,1981.54,4074.43
2020-05-16,P137,Furniture,622.59,U972,63,Female,FL,31,1.3,1,1281.17,1625.58
2020-05-17,P138,Electronics,688.07,U317,57,Female,WA,12,4.6,2,1946.09,2828.27
2020-05-18,P139,Books,655.09,U596,54,Male,NY,45,2.4,9,733.65,2597.54
2020-05-19,P140,Books,286.79,U713,33,Male,IL,29,2.8,7,1497.44,3963.3
2020-05-20,P141,Furniture,662.9,U341,24,Female,TX,40,2.9,8,1272.04,4794.7
2020-05-21,P142,Books,568.96,U211,27,Male,CA,17,4.4,2,1158.04,4023.43
2020-05-22,P143,Furniture,697.02,U246,43,Male,CA,44,4.4,9,1435.75,2158.27
2020-05-23,P144,Furniture,490.02,U100,48,Female,TX,5,2.5,1,649.53,903.76
2020-05-24,P145,Furniture,346.58,U587,53,Female,IL,8,2.6,1,79.19,1488.84
2020-05-25,P146,Electronics,867.73,U528,60,Male,OR,25,2.2,6,686.46,4743.29
2020-05-26,P147,Books,569.7,U236,18,Female,WA,11,3.0,8,1031.12,2955.49
2020-05-27,P148,Books,703.48,U814,44,Female,CA,30,1.1,1,1579.65,4783.36
2020-05-28,P149,Books,194.52,U438,62,Male,CA,35,2.9,5,1756.77,3459.52
2020-05-29,P150,Books,77.01,U446,23,Male,IL,37,4.2,3,399.37,1064.26
2020-05-30,P151,Electronics,639.77,U230,62,Female,NV,0,4.3,7,1303.97,4781.68
2020-05-31,P152,Books,879.0,U751,19,Female,OR,8,3.9,8,1938.7,3844.01
2020-06-01,P153,Electronics,554.19,U704,24,Male,IL,28,2.6,5,768.46,2671.51
2020-06-02,P154,Clothing,610.45,U663,31,Male,TX,26,1.7,8,1410.34,4595.14
2020-06-03,P155,Clothing,284.38,U176,18,Male,IL,10,3.5,3,1509.02,382.58
2020-06-04,P156,Furniture,374.08,U983,20,Female,NY,38,3.6,2,1278.34,4393.01
2020-06-05,P157,Clothing,321.55,U802,35,Male,OR,33,4.1,8,1797.23,1688.85
2020-06-06,P158,Furniture,131.46,U144,29,Male,OR,40,1.7,9,1658.54,726.2
2020-06-07,P159,Books,52.49,U431,18,Male,IL,16,3.0,1,1923.9,4840.96
2020-06-08,P160,Books,922.94,U207,52,Female,NY,19,1.1,3,1689.01,4779.01
2020-06-09,P161,Electronics,785.62,U534,46,Female,IL,17,4.2,9,619.45,555.48
2020-06-10,P162,Furniture,697.18,U979,64,Female,OR,47,1.4,9,949.73,4277.93
2020-06-11,P163,Furniture,801.93,U274,21,Male,FL,3,4.1,9,668.09,1039.94
2020-06-12,P164,Clothing,702.37,U607,34,Female,TX,45,3.3,9,680.04,4677.33
2020-06-13,P165,Books,904.77,U18,47,Female,TX,17,3.1,7,71.33,666.11
2020-06-14,P166,Clothing,47.3,U908,51,Male,NV,14,4.5,4,1104.76,2217.27
2020-06-15,P167,Furniture,500.92,U697,34,Female,OR,40,3.4,9,555.44,608.7
2020-06-16,P168,Clothing,74.89,U133,38,Female,CA,47,4.2,8,1757.48,4144.02
2020-06-17,P169,Furniture,288.3,U153,47,Male,CA,22,1.2,3,868.01,1704.46
2020-06-18,P170,Clothing,483.03,U441,21,Female,TX,24,2.7,8,1299.12,3368.01
2020-06-19,P171,Furniture,26.46,U183,32,Female,NV,9,3.1,3,372.05,4469.49
2020-06-20,P172,Furniture,125.43,U166,57,Male,WA,11,1.1,6,219.31,170.64
2020-06-21,P173,Furniture,485.95,U188,28,Female,TX,37,4.4,6,875.79,1816.16
2020-06-22,P174,Clothing,450.14,U842,37,Male,NV,36,4.9,8,1195.17,601.89
2020-06-23,P175,Books,145.52,U739,26,Female,IL,35,4.2,7,697.42,3852.73
2020-06-24,P176,Furniture,705.3,U140,26,Female,FL,14,1.3,4,752.11,2892.86
2020-06-25,P177,Books,966.61,U941,54,Male,CA,21,1.9,8,627.62,3458.68
2020-06-26,P178,Books,809.51,U611,50,Female,IL,2,3.7,5,950.04,3598.21
2020-06-27,P179,Books,193.69,U504,23,Female,TX,44,2.8,3,787.92,2367.59
2020-06-28,P180,Clothing,809.25,U19,21,Male,OR,49,2.3,1,1435.05,1335.93
2020-06-29,P181,Furniture,737.36,U944,40,Female,NV,9,3.1,8,1477.5,3350.83
2020-06-30,P182,Electronics,457.54,U484,44,Male,WA,24,4.5,3,1558.01,4451.43
2020-07-01,P183,Clothing,451.35,U573,39,Female,FL,8,3.1,5,1288.73,3973.62
2020-07-02,P184,Furniture,85.75,U270,50,Male,NY,47,1.7,5,1464.65,4284.2
2020-07-03,P185,Electronics,943.91,U630,44,Female,IL,11,3.0,9,838.19,4024.83
2020-07-04,P186,Clothing,688.14,U501,33,Female,FL,44,3.9,9,548.13,3593.54
2020-07-05,P187,Clothing,376.31,U773,47,Male,WA,40,3.1,5,1368.04,2129.28
2020-07-06,P188,Books,682.49,U644,60,Female,CA,27,2.4,1,1742.8,3138.65
2020-07-07,P189,Clothing,302.9,U33,23,Male,CA,19,2.1,7,340.84,1373.14
2020-07-08,P190,Clothing,510.8,U862,47,Female,FL,48,3.2,6,1639.11,177.5
2020-07-09,P191,Electronics,640.06,U319,61,Male,TX,45,2.2,5,1323.33,4585.74
2020-07-10,P192,Clothing,757.28,U182,58,Male,FL,31,4.5,5,411.91,4915.76
2020-07-11,P193,Clothing,368.94,U372,59,Female,IL,42,2.2,9,1131.76,2055.2
2020-07-12,P194,Furniture,477.7,U371,58,Male,TX,5,4.2,3,65.4,3551.94
2020-07-13,P195,Electronics,446.08,U949,47,Male,CA,0,3.8,5,1953.01,3510.17
2020-07-14,P196,Electronics,395.85,U969,25,Female,FL,14,3.8,8,1716.92,3948.37
2020-07-15,P197,Electronics,15.37,U807,53,Female,WA,25,2.3,2,368.64,3492.93
2020-07-16,P198,Furniture,466.7,U690,32,Female,WA,35,2.9,8,714.25,1407.9
2020-07-17,P199,Clothing,434.01,U288,33,Female,FL,15,2.2,5,93.26,4083.1
2020-07-18,P200,Electronics,344.96,U913,32,Male,NY,11,3.4,4,1074.46,4925.21
2020-07-19,P201,Books,40.05,U986,59,Female,OR,8,1.9,6,1368.36,1072.81
2020-07-20,P202,Electronics,539.63,U405,27,Male,WA,18,1.1,1,1175.54,4714.64
2020-07-21,P203,Books,108.31,U300,51,Female,CA,48,1.6,7,1686.52,3645.87
2020-07-22,P204,Books,549.72,U650,62,Male,CA,19,3.4,1,141.82,3550.12
2020-07-23,P205,Electronics,748.99,U741,22,Female,NY,16,3.5,5,1454.86,4454.11
2020-07-24,P206,Books,416.64,U510,54,Female,NY,14,4.6,5,118.87,415.0
2020-07-25,P207,Furniture,768.59,U151,32,Female,CA,42,2.8,6,1582.91,663.58
2020-07-26,P208,Books,847.04,U262,60,Female,CA,11,4.0,4,1369.73,3699.65
2020-07-27,P209,Electronics,449.8,U533,58,Male,FL,48,3.1,4,1625.91,2034.55
2020-07-28,P210,Furniture,789.12,U484,64,Male,WA,43,2.6,2,1825.0,3223.55
2020-07-29,P211,Electronics,345.52,U962,45,Female,CA,25,3.8,4,1276.08,529.72
2020-07-30,P212,Clothing,612.9,U8,51,Male,NY,43,3.9,2,886.74,4175.06
2020-07-31,P213,Books,643.55,U504,29,Male,OR,12,1.7,7,1296.33,3463.1
2020-08-01,P214,Clothing,769.15,U684,61,Male,FL,7,3.1,5,1926.84,4026.46
2020-08-02,P215,Electronics,115.17,U91,57,Female,NV,36,3.6,8,166.64,3129.97
2020-08-03,P216,Clothing,869.48,U462,55,Male,FL,10,2.8,5,219.24,591.25
2020-08-04,P217,Books,191.18,U681,47,Female,WA,14,1.5,1,416.97,2165.5
2020-08-05,P218,Electronics,358.83,U556,19,Male,NY,38,1.6,9,563.72,3308.18
2020-08-06,P219,Furniture,969.84,U695,24,Female,OR,36,2.2,8,1359.01,188.67
2020-08-07,P220,Clothing,728.66,U253,53,Female,IL,6,3.2,6,1665.28,698.92
2020-08-08,P221,Electronics,473.53,U110,23,Female,NV,41,2.5,7,849.81,772.42
2020-08-09,P222,Clothing,183.55,U619,60,Female,TX,37,3.3,8,602.12,1415.95
2020-08-10,P223,Clothing,836.28,U754,43,Male,TX,17,1.9,2,192.98,2958.94
2020-08-11,P224,Electronics,287.8,U721,42,Male,FL,10,1.7,8,1924.88,3012.1
2020-08-12,P225,Electronics,724.44,U151,27,Male,NV,38,2.3,4,815.83,2663.51
2020-08-13,P226,Furniture,201.67,U53,48,Female,NY,29,2.9,4,1036.37,754.62
2020-08-14,P227,Clothing,811.8,U173,18,Male,WA,47,4.8,7,1728.77,2398.28
2020-08-15,P228,Books,84.9,U773,53,Male,FL,42,3.1,4,1495.19,4962.64
2020-08-16,P229,Furniture,365.63,U520,61,Female,NV,29,4.9,4,900.75,3052.73
2020-08-17,P230,Clothing,931.73,U408,60,Female,WA,30,1.6,8,940.98,1092.92
2020-08-18,P231,Electronics,777.14,U602,55,Female,OR,15,3.0,2,1027.66,4987.07
2020-08-19,P232,Clothing,815.43,U293,57,Male,CA,0,3.2,4,1051.6,876.65
2020-08-20,P233,Clothing,24.51,U938,27,Female,OR,45,1.2,7,1860.15,4245.21
2020-08-21,P234,Furniture,929.72,U261,43,Female,TX,20,4.4,9,663.13,418.48
2020-08-22,P235,Clothing,176.52,U844,45,Male,OR,29,2.6,6,537.73,3426.75
2020-08-23,P236,Clothing,672.63,U432,31,Female,OR,34,4.7,9,268.8,1212.72
2020-08-24,P237,Electronics,889.93,U504,20,Female,TX,45,2.2,1,259.61,4291.16
2020-08-25,P238,Clothing,529.74,U526,63,Male,IL,32,3.5,7,550.62,93.95
2020-08-26,P239,Electronics,109.6,U319,47,Male,FL,44,3.0,3,430.49,2064.06
2020-08-27,P240,Books,530.25,U521,25,Female,OR,33,4.0,7,1492.47,957.87
2020-08-28,P241,Furniture,972.91,U139,34,Male,WA,23,1.7,7,117.27,20.78
2020-08-29,P242,Clothing,727.39,U356,30,Male,NY,8,2.8,3,1985.46,2514.25
2020-08-30,P243,Electronics,944.97,U861,24,Female,IL,11,4.4,1,158.67,4946.12
2020-08-31,P244,Clothing,194.12,U370,56,Female,CA,31,3.9,8,1452.7,3912.8
2020-09-01,P245,Furniture,620.82,U283,38,Female,NV,31,1.6,1,208.28,1334.48
2020-09-02,P246,Books,516.38,U421,61,Male,WA,40,4.0,8,1595.64,3218.11
2020-09-03,P247,Books,569.75,U416,24,Female,CA,35,1.9,8,852.52,542.56
2020-09-04,P248,Clothing,107.43,U418,51,Male,CA,30,4.8,4,1109.19,4462.52
2020-09-05,P249,Books,91.44,U477,45,Male,NY,19,4.3,1,194.02,1182.38
2020-09-06,P250,Furniture,922.41,U224,57,Male,FL,17,1.0,6,1977.11,4649.29
2020-09-07,P251,Clothing,754.18,U783,54,Male,NY,4,2.7,5,924.98,1915.6
2020-09-08,P252,Clothing,492.16,U442,31,Female,CA,21,2.5,9,1319.73,2826.86
2020-09-09,P253,Furniture,247.77,U160,32,Female,OR,21,1.1,4,214.54,1536.17
2020-09-10,P254,Books,302.95,U413,39,Male,CA,12,3.5,6,1680.82,4667.37
2020-09-11,P255,Furniture,792.07,U542,33,Male,IL,24,4.1,1,825.93,1953.33
2020-09-12,P256,Electronics,583.5,U891,23,Female,OR,47,1.7,7,1956.75,4796.45
2020-09-13,P257,Furniture,170.74,U932,49,Male,NV,31,3.1,8,842.73,4329.28
2020-09-14,P258,Furniture,378.4,U491,25,Male,FL,36,3.3,9,1405.83,798.12
2020-09-15,P259,Clothing,566.87,U559,41,Female,NV,31,4.9,7,804.21,1014.38
2020-09-16,P260,Clothing,743.73,U380,38,Female,FL,46,1.5,7,700.36,3916.26
2020-09-17,P261,Clothing,353.15,U155,50,Female,FL,42,2.8,3,948.48,723.27
2020-09-18,P262,Books,618.26,U385,37,Female,NV,47,4.5,8,1332.54,3236.67
2020-09-19,P263,Furniture,267.27,U418,53,Female,FL,42,2.1,4,1842.19,2483.92
2020-09-20,P264,Furniture,555.06,U832,36,Male,OR,12,1.6,1,717.84,2897.8
2020-09-21,P265,Clothing,505.05,U88,27,Female,FL,42,2.9,6,1172.27,4571.0
2020-09-22,P266,Electronics,628.68,U986,61,Male,NY,40,2.7,4,685.45,513.26
2020-09-23,P267,Clothing,266.81,U691,52,Female,IL,20,2.6,6,1856.96,3094.16
2020-09-24,P268,Books,183.0,U392,26,Male,NV,10,3.8,3,1561.81,4748.43
2020-09-25,P269,Books,92.57,U797,56,Male,NY,40,2.0,3,1790.25,4494.87
2020-09-26,P270,Furniture,221.84,U354,21,Male,OR,5,1.9,9,1737.89,2052.4
2020-09-27,P271,Clothing,566.62,U276,60,Female,NV,41,3.1,2,1341.52,4103.97
2020-09-28,P272,Books,975.1,U807,24,Male,IL,25,4.4,8,1435.69,2574.68
2020-09-29,P273,Furniture,473.95,U950,50,Male,NV,19,2.3,8,945.74,4233.85
2020-09-30,P274,Electronics,878.43,U739,39,Male,CA,12,1.3,1,1422.74,4330.97
2020-10-01,P275,Books,885.54,U370,28,Male,OR,24,4.2,9,1372.68,2303.96
2020-10-02,P276,Furniture,32.29,U754,43,Female,IL,0,4.5,3,1343.02,1601.4
2020-10-03,P277,Clothing,539.88,U760,36,Female,IL,42,4.5,9,559.74,4551.59
2020-10-04,P278,Electronics,743.11,U54,64,Female,TX,49,3.8,7,1056.2,1046.32
2020-10-05,P279,Books,805.52,U51,27,Female,TX,5,4.9,5,1285.53,4262.57
2020-10-06,P280,Electronics,601.65,U565,50,Female,NY,8,2.3,5,1178.89,2146.42
2020-10-07,P281,Furniture,80.27,U740,51,Female,FL,37,1.7,9,924.78,1971.32
2020-10-08,P282,Clothing,71.43,U376,48,Female,CA,25,1.5,4,750.88,802.09
2020-10-09,P283,Books,278.91,U851,35,Female,OR,32,1.6,7,531.14,50.61
2020-10-10,P284,Electronics,372.06,U17,53,Female,NV,42,3.6,6,1806.53,3110.84
2020-10-11,P285,Books,450.46,U447,52,Female,WA,47,4.2,2,546.87,2766.36
2020-10-12,P286,Books,159.67,U956,50,Male,NV,36,2.2,4,452.43,1746.22
2020-10-13,P287,Electronics,219.16,U400,58,Female,IL,3,2.0,2,344.83,4835.57
2020-10-14,P288,Books,651.55,U275,47,Female,NY,40,2.8,6,1011.23,4803.33
2020-10-15,P289,Books,304.63,U456,37,Female,OR,40,3.2,6,1213.51,4875.36
2020-10-16,P290,Electronics,728.78,U25,36,Male,WA,8,4.1,8,1740.59,139.06
2020-10-17,P291,Books,487.82,U232,51,Male,NV,31,3.4,1,870.09,3060.15
2020-10-18,P292,Furniture,284.85,U77,30,Female,NY,10,3.3,1,682.93,4974.6
2020-10-19,P293,Electronics,104.73,U775,56,Female,NV,24,2.1,2,1418.48,4544.03
2020-10-20,P294,Books,108.21,U663,21,Female,CA,29,2.1,9,1984.71,794.93
2020-10-21,P295,Furniture,355.56,U892,26,Female,WA,31,3.7,4,1463.4,4644.79
2020-10-22,P296,Books,89.8,U473,63,Female,NY,38,2.8,7,57.58,4579.1
